date,symbol,fear_greed,fear_greed_norm,combined_score,headline_score
2026-06-03,BTC,11,-0.78,-0.6043,-0.4286
2026-06-03,XRP,11,-0.78,-0.3543,0.0714
2026-06-03,SOL,11,-0.78,-0.3185,0.1429
2026-06-03,LINK,11,-0.78,-0.2472,0.2857
2026-06-03,HBAR,11,-0.78,-0.3185,0.1429
2026-06-03,XLM,11,-0.78,-0.1757,0.4286
2026-06-03,ADA,11,-0.78,-0.5091,-0.2381
2026-06-03,DOT,11,-0.78,-0.3185,0.1429
2026-06-03,AVAX,11,-0.78,-0.4615,-0.1429
2026-06-03,ATOM,11,-0.78,-0.39,0.0
2026-06-03,LMT,11,-0.78,-0.0476,-0.0476
2026-06-03,ABTC,11,-0.78,0.1429,0.1429
2026-06-03,PFE,11,-0.78,0.4286,0.4286
2026-06-03,ORCL,11,-0.78,0.4286,0.4286
2026-06-03,AAPL,11,-0.78,0.2857,0.2857
2026-06-03,NVDA,11,-0.78,0.5714,0.5714
2026-06-03,MSFT,11,-0.78,0.2857,0.2857
2026-06-03,AMZN,11,-0.78,0.2857,0.2857
2026-06-03,JPM,11,-0.78,0.2857,0.2857
2026-06-03,SPY,11,-0.78,-0.1429,-0.1429
2026-06-03,QQQ,11,-0.78,0.4286,0.4286
2026-06-04,BTC,12,-0.76,-0.3324,0.0952
2026-06-04,XRP,12,-0.76,-0.38,0.0
2026-06-04,SOL,12,-0.76,-0.4515,-0.1429
2026-06-04,LINK,12,-0.76,-0.3562,0.0476
2026-06-04,HBAR,12,-0.76,-0.38,0.0
2026-06-04,XLM,12,-0.76,-0.2371,0.2857
2026-06-04,ADA,12,-0.76,-0.5943,-0.4286
2026-06-04,DOT,12,-0.76,-0.2371,0.2857
2026-06-04,AVAX,12,-0.76,-0.5229,-0.2857
2026-06-04,ATOM,12,-0.76,-0.2371,0.2857
2026-06-04,LMT,12,-0.76,-0.5714,-0.5714
2026-06-04,ABTC,12,-0.76,-0.1429,-0.1429
2026-06-04,PFE,12,-0.76,0.1429,0.1429
2026-06-04,ORCL,12,-0.76,0.4286,0.4286
2026-06-04,AAPL,12,-0.76,0.2857,0.2857
2026-06-04,NVDA,12,-0.76,0.4286,0.4286
2026-06-04,MSFT,12,-0.76,0.0952,0.0952
2026-06-04,AMZN,12,-0.76,0.1429,0.1429
2026-06-04,JPM,12,-0.76,0.5714,0.5714
2026-06-04,SPY,12,-0.76,0.1429,0.1429
2026-06-04,QQQ,12,-0.76,0.5714,0.5714
2026-06-05,BTC,12,-0.76,-0.4515,-0.1429
2026-06-05,XRP,12,-0.76,-0.5943,-0.4286
2026-06-05,SOL,12,-0.76,-0.4515,-0.1429
2026-06-05,LINK,12,-0.76,-0.2134,0.3333
2026-06-05,HBAR,12,-0.76,-0.38,0.0
2026-06-05,XLM,12,-0.76,-0.4038,-0.0476
2026-06-05,ADA,12,-0.76,-0.4515,-0.1429
2026-06-05,DOT,12,-0.76,-0.3085,0.1429
2026-06-05,AVAX,12,-0.76,-0.4515,-0.1429
2026-06-05,ATOM,12,-0.76,-0.2371,0.2857
2026-06-05,LMT,12,-0.76,-0.4286,-0.4286
2026-06-05,ABTC,12,-0.76,-0.1429,-0.1429
2026-06-05,PFE,12,-0.76,0.1429,0.1429
2026-06-05,ORCL,12,-0.76,-0.1429,-0.1429
2026-06-05,AAPL,12,-0.76,0.0,0.0
2026-06-05,NVDA,12,-0.76,0.0,0.0
2026-06-05,MSFT,12,-0.76,-0.0476,-0.0476
2026-06-05,AMZN,12,-0.76,0.2857,0.2857
2026-06-05,JPM,12,-0.76,0.1905,0.1905
2026-06-05,SPY,12,-0.76,0.1429,0.1429
2026-06-05,QQQ,12,-0.76,-0.1429,-0.1429
2026-06-06,BTC,12,-0.76,-0.5229,-0.2857
2026-06-06,XRP,12,-0.76,-0.4515,-0.1429
2026-06-06,SOL,12,-0.76,-0.3085,0.1429
2026-06-06,LINK,12,-0.76,-0.2134,0.3333
2026-06-06,HBAR,12,-0.76,-0.38,0.0
2026-06-06,XLM,12,-0.76,-0.2371,0.2857
