symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
BTC,CRYPTO,2255.610107,2805.620117,24.3841,SELL,0,9.0773,9.6035,25.2806,12.2664,40.648,-7.6947,13.4778,28.4984,19.8527,41.7227,0.4758,68.1883,-4.9631,-4.9631,0.5487,-7.6947,13.4778,-1
BTC,CRYPTO,17429.5,13819.799805,-20.7103,SELL,1,-0.853,-3.8577,15.1214,12.4044,29.4015,23.121,8.2591,-10.606,34.5679,47.7803,0.7235,64.3478,-9.8603,-9.8603,0.5472,23.121,8.2591,-1
BTC,CRYPTO,3486.950195,4014.182617,15.1202,BUY,1,-8.8262,-6.1138,-25.5649,-9.1897,-32.4053,1.9595,-15.7717,-20.1329,15.7008,27.1108,0.5791,29.1424,32.8358,32.8358,-0.5706,1.9595,-15.7717,-2
BTC,CRYPTO,8574.501953,8000.32959,-6.6963,SELL,1,7.0421,3.5582,23.1334,6.5285,31.1722,-1.1381,7.6749,19.0114,14.6576,26.2953,0.5574,68.1836,-24.8648,-24.8648,0.5279,-1.1381,7.6749,0
BTC,CRYPTO,11961.269531,11392.378906,-4.7561,SELL,1,6.4127,9.5277,16.163,13.3973,31.7257,-3.5952,10.1876,45.3211,22.9903,49.718,0.4624,63.4347,-36.6188,-36.6188,0.5512,-3.5952,10.1876,-1
BTC,CRYPTO,39187.328125,32289.378906,-17.6025,SELL,1,10.5804,12.6469,30.9487,17.5307,53.9049,-2.6512,22.568,58.8796,20.2655,55.2876,0.3665,69.9287,-48.8516,-48.8516,0.5916,-2.6512,22.568,-1
BTC,CRYPTO,63039.824219,61452.230469,-2.5184,SELL,1,3.9939,5.0835,15.8526,6.3325,23.189,-4.4747,2.3474,22.3722,8.7335,22.6496,0.3856,62.8996,-189.146,-189.146,0.5114,-4.4747,2.3474,0
BTC,CRYPTO,65466.839844,56280.425781,-14.0322,SELL,1,3.0233,2.4639,8.4463,4.0714,12.8616,-2.2472,6.5329,3.85,10.5376,15.5336,0.6784,63.126,-131.9904,-131.9904,0.5481,-2.2472,6.5329,-1
BTC,CRYPTO,37476.957031,37712.746094,0.6292,SELL,0,1.811,1.7868,11.8096,3.5709,15.8022,-1.0655,0.4368,8.1031,6.5928,9.0643,0.7273,62.8863,-159.7166,-159.7166,0.6476,-1.0655,0.4368,1
BTC,CRYPTO,68896.109375,63811.863281,-7.3796,SELL,1,-0.6383,1.5233,5.7041,1.6667,7.4658,-1.1564,-0.8052,0.7391,8.9946,15.2164,0.5911,61.3932,-457.2055,-457.2055,0.2195,-1.1564,-0.8052,-3
BTC,CRYPTO,108994.640625,104390.34375,-4.2243,SELL,1,2.4303,2.208,10.1479,2.8879,13.3289,-2.3986,5.6241,12.3282,5.745,8.6179,0.6666,63.0156,-180.2251,-180.2251,0.5587,-2.3986,5.6241,0
BTC,CRYPTO,66824.203125,67334.640625,0.7639,SELL,0,-0.0473,-0.0547,2.0126,0.2697,2.2878,0.4079,0.3885,-0.7219,0.4422,0.855,0.5171,68.3792,-78.5114,-78.5114,0.6278,0.4079,0.3885,-2
BTC,CRYPTO,63975.058594,64911.066406,1.4631,BUY,1,0.1362,-0.0199,-1.5781,-0.7585,-2.3247,-0.7376,0.4236,-3.8151,1.3886,2.3134,0.6002,39.4082,70.1581,70.1581,-0.6354,-0.7376,0.4236,1
BTC,CRYPTO,59640.097656,56036.671875,-6.042,BUY,0,0.0421,0.0267,-1.3024,-1.5954,-2.877,-1.7217,-1.4587,-0.9511,2.3478,2.3478,1.0,33.9321,27.5057,27.5057,-1.5969,-1.7217,-1.4587,1
BTC,CRYPTO,57428.628906,58092.363281,1.1558,BUY,1,0.0961,-0.0381,-0.8817,-1.3134,-2.1836,-1.1003,-0.9572,-1.877,1.9715,1.9715,1.0,38.0712,1.3566,1.3566,-1.4228,-1.1003,-0.9572,1
BTC,CRYPTO,55789.296875,53948.703125,-3.2992,BUY,0,0.0013,-0.0396,-0.9758,-1.0461,-2.0117,-1.6163,-0.6586,-1.5868,1.6428,2.079,0.7902,33.963,18.6678,18.6678,-0.9514,-1.6163,-0.6586,1
BTC,CRYPTO,94899.265625,94109.375,-0.8323,BUY,0,0.1701,0.0591,-1.3801,-0.9603,-2.3272,-1.0069,-0.8396,-0.7176,1.6318,1.6906,0.9652,38.282,60.4763,60.4763,-1.2022,-1.0069,-0.8396,1
