symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
LMT,STOCK,0.942667,0.920069,-2.3972,SELL,1,-0.853,0.7861,2.4869,-2.3248,0.1042,-4.2624,-6.1094,-4.0106,5.4795,16.8538,0.3251,66.2335,-0.0054,-0.0054,-0.3561,-4.2624,-6.1094,-4
LMT,STOCK,1.147706,1.175033,2.381,SELL,0,-0.4751,0.892,5.7474,2.0768,7.9436,0.0,-0.2967,6.9145,5.625,5.625,1.0,61.9633,-0.0044,-0.0044,0.527,0.0,-0.2967,-2
LMT,STOCK,1.610017,1.589106,-1.2988,SELL,1,2.8713,3.2316,6.3325,4.0423,10.6308,-2.9412,8.1967,8.4507,6.9662,12.2642,0.568,61.1112,-0.0004,-0.0004,0.5246,-2.9412,8.1967,0
LMT,STOCK,1.715692,1.634829,-4.7131,SELL,1,-0.3343,0.2997,-0.6849,-0.4566,-1.1384,-1.7317,-1.7317,-5.3224,3.0129,7.5472,0.3992,60.5323,-0.0003,-0.0003,-0.1109,-1.7317,-1.7317,-3
LMT,STOCK,1.605505,1.759604,9.5982,SELL,0,-0.4584,0.6819,-0.0559,0.1677,0.1117,-2.1835,-1.3216,-4.0686,4.5351,10.0,0.4535,66.2791,-0.0014,-0.0014,0.0315,-2.1835,-1.3216,-4
LMT,STOCK,0.626891,0.527909,-15.7893,SELL,1,-0.7619,3.8092,-1.9678,0.6954,-1.286,-5.5901,-7.3173,3.4013,15.0686,21.7392,0.6932,60.6556,-0.0014,-0.0014,0.0523,-5.5901,-7.3173,-5
LMT,STOCK,0.412429,0.325819,-21.0,SELL,1,-0.3671,-0.5768,17.484,4.8768,23.2134,8.6956,7.5269,11.1111,11.1111,17.0453,0.6519,64.0002,-0.002,-0.002,0.5608,8.6956,7.5269,-1
LMT,STOCK,0.313446,0.305198,-2.6314,BUY,0,-0.3179,-2.0979,-2.709,-3.3694,-5.9871,1.3332,-3.7975,-9.5237,8.1079,13.5132,0.6,39.9998,0.0005,0.0005,-0.5217,1.3332,-3.7975,-1
LMT,STOCK,0.226836,0.247457,9.0907,SELL,0,-1.8428,-1.6489,8.9391,6.6926,16.23,14.5833,3.7738,-3.5089,14.5833,16.6665,0.875,61.9048,-0.0011,-0.0011,0.7799,14.5833,3.7738,-1
LMT,STOCK,0.362938,0.379435,4.5454,SELL,0,-0.5489,7.5741,26.7743,-3.4028,22.4605,-13.7255,-13.7255,14.286,24.9999,59.4203,0.4207,62.6867,-0.0099,-0.0099,-0.1168,-13.7255,-13.7255,-5
LMT,STOCK,0.387683,0.424802,9.5746,SELL,0,-0.1682,1.6265,6.792,5.4402,12.6017,4.4444,0.0,4.4444,11.6279,15.6627,0.7424,67.7419,-0.0023,-0.0023,0.7023,4.4444,0.0,-1
LMT,STOCK,0.276327,0.268079,-2.9849,BUY,0,0.2166,-1.0831,-16.9067,-3.2492,-19.6066,1.515,3.0767,-9.4598,7.576,12.3076,0.6156,45.1612,0.0034,0.0034,-0.512,1.515,3.0767,3
LMT,STOCK,0.301073,0.268079,-10.9588,BUY,0,-1.5831,-2.3746,-4.1234,-3.694,-7.6651,1.3888,-5.1948,-8.75,4.1667,11.111,0.375,37.5002,0.0001,0.0001,-0.6321,1.3888,-5.1948,-1
LMT,STOCK,0.478418,0.466045,-2.5862,BUY,0,0.4959,-0.9917,-6.9803,-4.1322,-10.824,-3.3333,-0.8546,-10.0776,9.4827,9.4827,1.0,37.5,0.0012,0.0012,-0.7667,-3.3333,-0.8546,0
LMT,STOCK,0.75062,0.870225,15.9342,SELL,0,5.4971,6.0379,18.9098,9.342,30.0184,-1.087,5.814,32.8465,8.2351,27.7777,0.2965,74.6268,-0.0022,-0.0022,0.6094,-1.087,5.814,1
LMT,STOCK,4.849787,4.938658,1.8325,BUY,1,0.7705,-0.4571,2.6267,-0.222,2.3988,1.5957,-0.2611,0.0,4.5454,5.3476,0.85,39.5833,0.0007,0.0007,-0.0795,1.5957,-0.2611,3
LMT,STOCK,4.834141,4.793854,-0.8334,SELL,1,-0.1426,-0.2281,8.7419,2.6518,11.6256,3.1518,0.0,1.6949,4.9562,5.5719,0.8895,60.9375,-0.0221,-0.0221,0.7682,3.1518,0.0,0
LMT,STOCK,3.094806,3.498475,13.0434,BUY,1,0.8571,-1.4286,-0.019,-1.4286,-1.4474,3.5,1.9704,1.4705,10.101,13.1313,0.7692,38.8888,0.0078,0.0078,-0.1903,3.5,1.9704,3
