symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,atr_pct,obv_pct,vol_trend,hl_position,score
LMT,STOCK,0.868811,0.838932,-3.4391,SELL,1,-1.5408,-0.1942,-3.0911,-2.1106,-5.1364,-3.8168,-2.0725,-4.0609,6.1497,6.1497,1.0,44.4447,-0.0019,-0.0019,-0.5738,-3.8168,-2.0725,2.1353,-1.9332,-17.5161,39.3939,-4
LMT,STOCK,0.845827,0.84123,-0.5435,SELL,1,-2.4289,-0.4026,-3.1901,-4.4032,-7.4528,-5.8823,-5.1546,-6.1224,7.8804,7.8804,1.0,41.791,-0.0032,-0.0032,-1.0615,-5.8823,-5.1546,2.3098,-3.4947,-20.425,9.0909,-4
LMT,STOCK,0.857319,0.829737,-3.2172,SELL,1,-2.7351,-0.4949,-3.3148,-2.8393,-6.06,-2.8647,-3.6176,-5.3299,7.8804,7.8804,1.0,49.2537,-0.003,-0.003,-0.6724,-2.8647,-3.6176,2.3171,-4.2951,-26.8146,24.2423,-4
LMT,STOCK,0.829737,0.792963,-4.4321,SELL,1,-2.9827,-0.7588,-3.4873,-5.5469,-8.8408,-3.476,-6.9588,-8.6076,9.9724,9.9724,1.0,35.2111,-0.0044,-0.0044,-1.1645,-3.476,-6.9588,2.4733,-3.2885,-34.9968,2.6316,-4
LMT,STOCK,0.818246,0.786067,-3.9326,SELL,1,-3.4573,-1.354,-3.6937,-6.402,-9.8592,-4.8128,-10.3274,-9.4147,10.3932,11.5168,0.9024,29.1667,-0.0056,-0.0056,-1.1719,-4.8128,-10.3274,2.7087,-4.2884,-23.9279,16.0,-5
LMT,STOCK,0.792963,0.786067,-0.8696,SELL,1,-2.4615,-2.5967,-4.2972,-6.6811,-10.6911,-5.9945,-4.4321,-11.0824,6.3768,15.0724,0.4231,30.137,-0.0015,-0.0015,-0.9362,-5.9945,-4.4321,2.7122,-6.5623,-16.5836,1.8519,-4
LMT,STOCK,0.849336,0.733622,-13.624,BUY,0,1.7163,-0.1135,-3.9829,4.1222,-0.0249,9.9781,2.6464,0.9635,9.9781,11.3033,0.8828,68.4813,0.0071,0.0071,0.69,9.9781,2.6464,3.3001,5.3238,77.7778,93.647,4
LMT,STOCK,0.83545,0.754451,-9.6952,BUY,0,2.4418,0.1188,-3.8447,2.4418,-1.4968,3.557,2.1026,-0.415,9.9781,11.3033,0.8828,54.4785,0.0068,0.0068,0.4113,3.557,2.1026,3.0218,4.3811,37.1352,80.941,4
LMT,STOCK,0.796107,0.782222,-1.7442,BUY,0,2.0519,0.3709,-3.7385,-2.0484,-5.7103,-3.6415,-1.0377,-4.0531,9.9781,11.3033,0.8828,37.8041,0.0027,0.0027,-0.3534,-3.6415,-1.0377,3.2777,2.5756,25.6348,44.9413,0
LMT,STOCK,0.754451,0.80305,6.4417,BUY,1,-4.548,-2.4856,-3.5086,-5.3032,-8.6257,1.5576,-9.6952,-7.7965,11.6719,15.7729,0.74,38.1356,-0.0052,-0.0052,-0.6467,1.5576,-9.6952,5.2585,4.1759,69.0601,52.6883,-2
